Ticker,Pct Change,MarketCap,Weight,Weighted Change,GICS Sector
KMX,1.378205345,10994011136,0.000226385,0.000312004,Consumer Discretionary
KO,-0.144951123,2.67094E+11,0.00549989,-0.000797215,Consumer Staples
KR,-0.600262027,38555258880,0.000793915,-0.000476557,Consumer Staples
KVUE,-0.462963735,37051572224,0.000762952,-0.000353219,Consumer Staples
L,0.795572153,16550098944,0.000340793,0.000271126,Financials
LDOS,0.921405879,20437293056,0.000420837,0.000387762,Industrials
LEN,1.203728035,43108646912,0.000887677,0.001068522,Consumer Discretionary
LH,1.298897766,16829216768,0.000346541,0.000450121,Health Care
LHX,0.062749043,42346061824,0.000871974,5.47156E-05,Industrials
LIN,0.756423693,2.09385E+11,0.004311587,0.003261387,Materials
LKQ,1.226407133,11450024960,0.000235775,0.000289156,Consumer Discretionary
LLY,-0.126169771,7.67385E+11,0.015801714,-0.001993699,Health Care
LMT,0.057810127,1.12135E+11,0.002309043,0.000133486,Industrials
LNT,-0.119971127,12806131712,0.000263699,-3.16363E-05,Utilities
LOW,-1.043769109,1.23141E+11,0.002535683,-0.002646667,Consumer Discretionary
LRCX,1.298362683,1.26893E+11,0.002612939,0.003392543,Information Technology
LULU,1.090952038,38181056512,0.00078621,0.000857717,Consumer Discretionary
LUV,0.712947605,16062559232,0.000330754,0.00023581,Industrials
LVS,0.178575519,33437708288,0.000688537,0.000122956,Consumer Discretionary
LW,1.675406037,12881121280,0.000265243,0.00044439,Consumer Staples
LYB,1.149664101,32086794240,0.000660719,0.000759605,Materials
LYV,2.685060352,22216214528,0.000457468,0.001228329,Communication Services
MA,-0.006648518,4.19424E+11,0.008636616,-5.74207E-05,Financials
MAA,0.210652109,15978537984,0.000329024,6.93096E-05,Real Estate
MAR,1.952080853,67575312384,0.001391486,0.002716292,Consumer Discretionary
MAS,0.523713444,15218860032,0.000313381,0.000164122,Industrials
MCD,0.069783539,1.86015E+11,0.003830356,0.000267296,Consumer Discretionary
